experiment,solver,network,n_requests,run,runtime_ms,pareto_size,route_index,served,lu_cost,distance,route,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
core_comparison,Insertion,oldenburg,2,1,120,1,1,4,8,19207.84,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,2,151,1,1,5,10,15655.9,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,3,66,1,1,1,2,10540.87,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,4,167,1,1,3,6,22007.33,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,5,100,1,1,10,20,18355.88,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,6,119,1,1,5,10,6882.43,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,7,124,1,1,5,10,13469.92,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,8,87,1,1,2,4,12800.32,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,9,128,1,1,7,22,18383.95,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,2,10,136,1,1,5,10,13197.43,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,1,92,1,1,4,8,19207.84,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,2,102,1,1,8,16,22832.28,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,3,51,1,1,3,6,14066.9,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,4,118,1,1,4,8,34123.31,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,5,69,1,1,10,25,9779.09,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,6,72,1,1,6,17,15444.99,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,7,80,1,1,7,18,18302.86,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,8,75,1,1,6,16,14863.19,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,9,81,1,1,7,22,18383.95,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,2,10,103,1,1,6,12,24590,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,1,83,1,1,4,8,19207.84,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,2,85,1,1,8,16,22832.28,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,3,48,1,1,3,6,14066.9,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,4,112,1,1,4,11,25147.72,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,5,73,1,1,10,25,9779.09,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,6,74,1,1,5,10,6882.43,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,7,73,1,1,7,14,15732.4,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,8,56,1,1,6,14,5391.06,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,9,56,1,1,4,8,8304.83,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,2,10,84,1,1,1,2,17255.87,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,1,620,1,1,15,48,36073.16,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,2,517,1,1,5,16,33611.81,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,3,737,1,1,14,50,33923.95,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,4,518,1,1,8,30,25914.13,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,5,506,1,1,6,18,22667.52,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,6,288,1,1,8,32,21387.9,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,7,347,1,1,8,26,22560.91,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,8,498,1,1,11,30,38152.88,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,9,321,1,1,13,34,32522.36,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,5,10,545,1,1,7,28,29769.56,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,1,209,1,1,16,77,37686.82,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,2,207,1,1,12,38,34601.71,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,3,213,1,1,12,34,37707,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,4,157,1,1,12,50,33565.36,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,5,217,1,1,11,28,30904.32,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,6,160,1,1,8,39,32296.18,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,7,148,1,1,8,26,22560.91,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,8,221,1,1,11,30,38152.88,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,9,228,1,1,13,34,32522.36,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,5,10,254,1,1,11,40,30535.32,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,1,96,1,1,6,22,10410.97,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,2,160,1,1,4,8,20960.77,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,3,140,1,1,5,10,22717.18,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,4,99,1,1,4,8,10530.83,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,5,179,1,1,7,17,13108.09,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,6,90,1,1,4,8,6557.06,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,7,108,1,1,5,10,8601.49,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,8,113,1,1,2,4,9339.18,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,9,188,1,1,9,18,19851.54,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,5,10,159,1,1,4,8,7217.41,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,1,1343,1,1,13,44,41879.13,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,2,1592,1,1,13,52,37325.54,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,3,790,1,1,10,36,22040.88,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,4,3219,1,1,11,64,38725.28,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,5,951,1,1,10,22,36795.53,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,6,1940,1,1,10,56,41517.68,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,7,1868,1,1,9,32,39542.32,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,8,1950,1,1,4,14,39858.33,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,9,1334,1,1,15,50,31745.59,,,,,,,,,,,,,,,success,0
core_comparison,Insertion,oldenburg,10,10,790,1,1,13,54,38551.81,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,1,372,1,1,12,58,29368.61,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,2,486,1,1,17,78,43453.37,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,3,371,1,1,14,49,30192.1,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,4,501,1,1,15,82,41492.92,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,5,477,1,1,19,74,55542.77,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,6,379,1,1,15,78,44724.14,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,7,332,1,1,16,67,39053.44,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,8,395,1,1,16,33,43162.55,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,9,381,1,1,19,80,36105.08,,,,,,,,,,,,,,,success,0
core_comparison,LIFO,oldenburg,10,10,375,1,1,18,87,34741.46,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,1,233,1,1,4,8,11067.07,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,2,249,1,1,7,16,9744.02,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,3,181,1,1,5,12,15260.91,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,4,233,1,1,8,20,13077.91,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,5,232,1,1,10,17,22082.44,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,6,174,1,1,2,2,3694.19,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,7,290,1,1,11,37,18215.91,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,8,242,1,1,2,4,8843.58,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,9,196,1,1,4,8,6250.14,,,,,,,,,,,,,,,success,0
core_comparison,FoodMatch,oldenburg,10,10,212,1,1,8,21,14671.73,,,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,207,2,1,4,8,19207.84,"[Depot:3386,S2:4183,D2:3956,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,207,2,2,3,6,22386.87,"[Depot:3386,S1:3479,D1:2677,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,2,218,1,1,5,10,15655.9,"[Depot:5071,S1:3148,D1:4478,Depot:5071]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,3,132,1,1,1,2,10540.87,"[Depot:5859,S2:232,D2:2255,Depot:5859]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,4,245,1,1,3,6,22007.33,"[Depot:4407,S1:3097,D1:2159,Depot:4407]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,152,2,1,10,20,18355.88,"[Depot:2971,S2:5677,D2:3833,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,152,2,2,5,10,8685.39,"[Depot:2971,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,149,2,1,5,10,6882.43,"[Depot:3776,S1:1055,D1:1731,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,149,2,2,1,2,11218.54,"[Depot:3776,S2:2187,D2:3674,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,7,169,1,1,5,10,13469.92,"[Depot:4840,S2:3938,D2:3646,Depot:4840]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,129,2,1,4,8,4074.98,"[Depot:725,S2:4862,D2:1685,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,129,2,2,2,4,12800.32,"[Depot:725,S1:1245,D1:5740,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,214,3,1,7,22,18383.95,"[Depot:5867,S1:2950,S2:3559,D1:2183,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,214,3,2,4,8,8304.83,"[Depot:5867,S2:3559,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,214,3,3,3,6,11564.32,"[Depot:5867,S1:2950,D1:2183,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,10,190,1,1,5,10,13197.43,"[Depot:1871,S2:2521,D2:5051,Depot:1871]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,179,2,1,4,8,19207.84,"[Depot:3386,S2:4183,D2:3956,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,179,2,2,3,6,22386.87,"[Depot:3386,S1:3479,D1:2677,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,2,240,1,1,5,10,15655.9,"[Depot:5071,S1:3148,D1:4478,Depot:5071]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,3,144,1,1,1,2,10540.87,"[Depot:5859,S2:232,D2:2255,Depot:5859]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,4,278,1,1,3,6,22007.33,"[Depot:4407,S1:3097,D1:2159,Depot:4407]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,193,2,1,10,20,18355.88,"[Depot:2971,S2:5677,D2:3833,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,193,2,2,5,10,8685.39,"[Depot:2971,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,172,2,1,5,10,6882.43,"[Depot:3776,S1:1055,D1:1731,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,172,2,2,1,2,11218.54,"[Depot:3776,S2:2187,D2:3674,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,7,180,1,1,5,10,13469.92,"[Depot:4840,S2:3938,D2:3646,Depot:4840]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,144,2,1,4,8,4074.98,"[Depot:725,S2:4862,D2:1685,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,144,2,2,2,4,12800.32,"[Depot:725,S1:1245,D1:5740,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,153,3,1,7,22,18383.95,"[Depot:5867,S1:2950,S2:3559,D1:2183,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,153,3,2,4,8,8304.83,"[Depot:5867,S2:3559,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,153,3,3,3,6,11564.32,"[Depot:5867,S1:2950,D1:2183,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,10,191,1,1,5,10,13197.43,"[Depot:1871,S2:2521,D2:5051,Depot:1871]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,1,15,48,36073.16,"[Depot:5672,S1:1817,S2:4874,D1:4009,S3:5912,D2:5406,D3:3055,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,2,14,38,27090.41,"[Depot:5672,S2:4874,S3:5912,D2:5406,D3:3055,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,3,12,26,30028.13,"[Depot:5672,S1:1817,D1:4009,S3:5912,S5:1016,D3:3055,D5:2146,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,4,11,22,27888.75,"[Depot:5672,S1:1817,D1:4009,S3:5912,D3:3055,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,5,11,24,20755.22,"[Depot:5672,S3:5912,S5:1016,D3:3055,D5:2146,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,6,10,20,18615.84,"[Depot:5672,S3:5912,D3:3055,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,7,9,18,16844.6,"[Depot:5672,S2:4874,D2:5406,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,8,7,14,26114.98,"[Depot:5672,S1:1817,D1:4009,S5:1016,D5:2146,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,9,6,12,10349.5,"[Depot:5672,S5:1016,D5:2146,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,10,5,10,7352.36,"[Depot:5672,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,11,4,8,12344.56,"[Depot:5672,S2:4874,D2:5406,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,12,2,4,24274.6,"[Depot:5672,S1:1817,D1:4009,S5:1016,D5:2146,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,201103,13,13,1,2,8509.12,"[Depot:5672,S5:1016,D5:2146,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,206,2,1,4,8,19207.84,"[Depot:3386,S2:4183,D2:3956,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,206,2,2,3,6,22386.87,"[Depot:3386,S1:3479,D1:2677,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,2,259,1,1,5,10,15655.9,"[Depot:5071,S1:3148,D1:4478,Depot:5071]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,3,145,1,1,1,2,10540.87,"[Depot:5859,S2:232,D2:2255,Depot:5859]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,4,254,1,1,3,6,22007.33,"[Depot:4407,S1:3097,D1:2159,Depot:4407]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,188,2,1,10,20,18355.88,"[Depot:2971,S2:5677,D2:3833,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,188,2,2,5,10,8685.39,"[Depot:2971,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,154,2,1,5,10,6882.43,"[Depot:3776,S1:1055,D1:1731,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,154,2,2,1,2,11218.54,"[Depot:3776,S2:2187,D2:3674,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,7,201,1,1,5,10,13469.92,"[Depot:4840,S2:3938,D2:3646,Depot:4840]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,134,2,1,4,8,4074.98,"[Depot:725,S2:4862,D2:1685,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,134,2,2,2,4,12800.32,"[Depot:725,S1:1245,D1:5740,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,192,3,1,7,22,18383.95,"[Depot:5867,S1:2950,S2:3559,D1:2183,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,192,3,2,4,8,8304.83,"[Depot:5867,S2:3559,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,192,3,3,3,6,11564.32,"[Depot:5867,S1:2950,D1:2183,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,10,237,1,1,5,10,13197.43,"[Depot:1871,S2:2521,D2:5051,Depot:1871]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,1,15,48,36073.16,"[Depot:5672,S1:1817,S2:4874,D1:4009,S3:5912,D2:5406,D3:3055,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,2,14,38,27090.41,"[Depot:5672,S2:4874,S3:5912,D2:5406,D3:3055,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,3,12,26,30028.13,"[Depot:5672,S1:1817,D1:4009,S3:5912,S5:1016,D3:3055,D5:2146,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,4,11,22,27888.75,"[Depot:5672,S1:1817,D1:4009,S3:5912,D3:3055,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,5,11,24,20755.22,"[Depot:5672,S3:5912,S5:1016,D3:3055,D5:2146,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,6,10,20,18615.84,"[Depot:5672,S3:5912,D3:3055,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,7,9,18,16844.6,"[Depot:5672,S2:4874,D2:5406,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,8,7,14,26114.98,"[Depot:5672,S1:1817,D1:4009,S5:1016,D5:2146,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,9,6,12,10349.5,"[Depot:5672,S5:1016,D5:2146,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,10,5,10,7352.36,"[Depot:5672,S4:677,D4:5533,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,11,4,8,12344.56,"[Depot:5672,S2:4874,D2:5406,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,12,2,4,24274.6,"[Depot:5672,S1:1817,D1:4009,S5:1016,D5:2146,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,5,1,211354,13,13,1,2,8509.12,"[Depot:5672,S5:1016,D5:2146,Depot:5672]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,195,2,1,4,8,19207.84,"[Depot:3386,S2:4183,D2:3956,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,195,2,2,3,6,22386.87,"[Depot:3386,S1:3479,D1:2677,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,2,201,1,1,5,10,15655.9,"[Depot:5071,S1:3148,D1:4478,Depot:5071]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,3,132,1,1,1,2,10540.87,"[Depot:5859,S2:232,D2:2255,Depot:5859]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,4,225,1,1,3,6,22007.33,"[Depot:4407,S1:3097,D1:2159,Depot:4407]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,166,2,1,10,20,18355.88,"[Depot:2971,S2:5677,D2:3833,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,166,2,2,5,10,8685.39,"[Depot:2971,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,167,2,1,5,10,6882.43,"[Depot:3776,S1:1055,D1:1731,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,167,2,2,1,2,11218.54,"[Depot:3776,S2:2187,D2:3674,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,7,169,1,1,5,10,13469.92,"[Depot:4840,S2:3938,D2:3646,Depot:4840]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,159,2,1,4,8,4074.98,"[Depot:725,S2:4862,D2:1685,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,159,2,2,2,4,12800.32,"[Depot:725,S1:1245,D1:5740,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,175,3,1,7,22,18383.95,"[Depot:5867,S1:2950,S2:3559,D1:2183,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,175,3,2,4,8,8304.83,"[Depot:5867,S2:3559,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,175,3,3,3,6,11564.32,"[Depot:5867,S1:2950,D1:2183,Depot:5867]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,10,212,1,1,5,10,13197.43,"[Depot:1871,S2:2521,D2:5051,Depot:1871]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,258,2,1,4,8,19207.84,"[Depot:3386,S2:4183,D2:3956,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,1,258,2,2,3,6,22386.87,"[Depot:3386,S1:3479,D1:2677,Depot:3386]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,2,212,1,1,5,10,15655.9,"[Depot:5071,S1:3148,D1:4478,Depot:5071]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,3,142,1,1,1,2,10540.87,"[Depot:5859,S2:232,D2:2255,Depot:5859]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,4,256,1,1,3,6,22007.33,"[Depot:4407,S1:3097,D1:2159,Depot:4407]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,176,2,1,10,20,18355.88,"[Depot:2971,S2:5677,D2:3833,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,5,176,2,2,5,10,8685.39,"[Depot:2971,S1:5701,D1:5513,Depot:2971]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,184,2,1,5,10,6882.43,"[Depot:3776,S1:1055,D1:1731,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,6,184,2,2,1,2,11218.54,"[Depot:3776,S2:2187,D2:3674,Depot:3776]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,7,227,1,1,5,10,13469.92,"[Depot:4840,S2:3938,D2:3646,Depot:4840]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,139,2,1,4,8,4074.98,"[Depot:725,S2:4862,D2:1685,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,8,139,2,2,2,4,12800.32,"[Depot:725,S1:1245,D1:5740,Depot:725]",,,,,,,,,,,,,,success,0
core_comparison,Exact,oldenburg,2,9,156,3,1,7,22,18383.95,"[Depot:5867,S1:2950,S2:3559,D1:2183,D2:2041,Depot:5867]",,,,,,,,,,,,,,success,0
